AADR,UHL,0,2760
AAL,APR,1,103
AAL,APR,1,103
AAL,APR,1,103
AAL,APR,1,103
AAL,BUH,1,461
AAL,BUH,1,461
AAL,BUH,1,461
AAL,BUH,1,461
AAY,NCJ,2,1851
AAY,NCJ,2,1851
AAY,NPK,2,1934
AAY,VLY,2,2819
AB,GYM,3,980
AB,GYM,3,980
AB,JTJ,3,1184
AB,JTJ,3,1184
AB,JTJ,3,1184
AB,JTJ,3,1184
AB,JTJ,3,1184
AB,JTJ,3,1184
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,KPD,3,1368
AB,VN,3,2823
AB,VN,3,2823
AB,VN,3,2823
AB,VN,3,2823
ABD,CLDY,4,576
ABD,SAU,4,2331
ABFC,BLK,5,304
ABFC,NJP,5,1892
ABI,DG,6,676
ABI,KQN,6,1384
ABKA,BDC,7,183
ABKA,BDC,7,183
ABKA,BDC,7,183
ABKA,BDC,7,183
ABKA,BDC,7,183
ABKA,BDC,7,183
ABKA,NDAE,7,1854
ABKA,NDAE,7,1854
ABKA,NDAE,7,1854
ABKA,NDAE,7,1854
ABKA,NDAE,7,1854
ABKA,NDAE,7,1854
ABKP,BSPR,8,421
ABLE,GPR,9,937
ABP,AY,10,139
ABP,AY,10,139
ABP,AY,10,139
ABP,AY,10,139
ABP,AY,10,139
ABP,BSB,10,411
ABP,FD,10,820
ABP,FD,10,820
ABP,FD,10,820
ABP,FD,10,820
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,GGJ,10,875
ABP,JNU,10,1150
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,MLPR,10,1688
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABP,SHG,10,2417
ABR,ADI,11,19
ABR,ADI,11,19
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,FA,11,816
ABR,JU,11,1188
ABR,JWB,11,1194
ABR,JWB,11,1194
ABR,JWB,11,1194
ABR,MJ,11,1646
ABR,MJ,11,1646
ABR,MJ,11,1646
ABR,MJ,11,1646
ABR,MJ,11,1646
ABR,MJ,11,1646
ABR,MSH,11,1767
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,PNU,11,2107
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SOH,11,2514
ABR,SRPJ,11,2552
ABS,BTI,12,438
ABS,BTI,12,438
ABS,MOT,12,1731
ABS,MOT,12,1731
ABS,MOT,12,1731
ABS,MOT,12,1731
ABS,SGNR,12,2403
ABS,SGNR,12,2403
ABS,SGNR,12,2403
ABS,SGNR,12,2403
ABS,SGNR,12,2403
ABS,SGNR,12,2403
ABS,SGNR,12,2403
ABSA,MANU,13,1573
ABSA,TLMR,13,2679
ACND,AY,14,139
ACND,AY,14,139
ACND,AY,14,139
ACND,AY,14,139
ACND,AY,14,139
ACND,FD,14,820
ACND,FD,14,820
ACND,FD,14,820
ACND,FD,14,820
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,GTL,15,957
AD,KGL,15,1259
AD,KGL,15,1259
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,MALM,15,1569
AD,NRR,15,1951
AD,RC,15,2192
AD,RC,15,2192
AD,RC,15,2192
AD,RC,15,2192
AD,RC,15,2192
AD,RC,15,2192
ADB,KNVT,16,1354
ADB,KNVT,16,1354
ADB,KNVT,16,1354
ADB,KNVT,16,1354
ADB,MJRI,16,1653
ADB,MJRI,16,1653
ADB,MJRI,16,1653
ADB,NED,16,1865
ADB,PMKT,16,2087
ADF,EKI,17,804
ADF,OMLF,17,1996
ADH,BCT,18,178
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BDTS,18,192
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADH,BVI,18,473
ADI,ABR,19,11
ADI,ABR,19,11
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ASV,19,121
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,DHG,19,688
ADI,DHG,19,688
ADI,DHG,19,688
ADI,JVN,19,1193
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MHD,19,1633
ADI,MHD,19,1633
ADI,MHD,19,1633
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
