BIA,R for train num 18029
BMB,GP for train num 12872
BMB,GP for train num 18006
BMB,GP for train num 12872
BMB,GP for train num 18006
BMB,GP for train num 12872
BMB,GP for train num 18006
BMB,GP for train num 12872
BMB,GP for train num 18006
BMB,GP for train num 12872
BMB,GP for train num 18006
BMB,GP for train num 12872
BMB,GP for train num 18006
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BPHB,R for train num 18240
BSL,BPL for train num 12143
BSL,BPL for train num 22455
BSL,BPL for train num 12143
BSL,BPL for train num 22455
BSL,BPL for train num 12143
BSL,BPL for train num 22455
BSL,ET for train num 11033
BSL,ET for train num 11037
BSL,ET for train num 11033
BSL,ET for train num 11037
BSL,ET for train num 11033
BSL,ET for train num 11037
BSL,ET for train num 11033
BSL,ET for train num 11037
BSL,JBP for train num 11055
BSL,JBP for train num 11059
BSL,JBP for train num 11055
BSL,JBP for train num 11059
BSP,ROU for train num 12767
BSP,ROU for train num 12869
CAER,HD for train num 11057
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRJ,MDP for train num 13111
CRLM,BNC for train num 16231
CRLM,BNC for train num 16235
DSJ,AGC for train num 14010
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
DURG,R for train num 12833
DURG,R for train num 12844
FDB,AGC for train num 11450
FDB,AGC for train num 12618
FDB,AGC for train num 11450
FDB,AGC for train num 12618
FDB,AGC for train num 11450
FDB,AGC for train num 12618
FDB,AGC for train num 11450
FDB,AGC for train num 12618
G,R for train num 12101
G,R for train num 12145
G,R for train num 12101
G,R for train num 12145
GWL,NZM for train num 12621
GWL,NZM for train num 12687
HD,ET for train num 11015
HD,ET for train num 11015
HD,ET for train num 11015
HD,ET for train num 11015
HD,ET for train num 11015
